"id","ip_address","campaign","station","created_at","city","state","user_agent","referral","banner_size"
522,"77.134.215.4","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:34:46.911765","Boulogne-Billancourt","Ile-de-France","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240","http://player.radio.com/listen/station/k-frog","300x250"
524,"77.134.215.4","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:35:34.330412","Boulogne-Billancourt","Ile-de-France","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240","http://player.radio.com/listen/station/k-frog","300x250"
527,"45.48.86.158","ag_04202016","OXNARD-KHAY-FM","2016-04-28 08:47:33.652164","Oxnard","California","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://www.951kbby.com/","160x600"
531,"88.150.230.186","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 09:00:02.36169","Gosport","England","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0 evaliant",,"300x250"
532,"50.199.114.89","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 09:02:07.076942","Mount Laurel","New Jersey","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kfrog.cbslocal.com/","300x250"
535,"64.233.172.243","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 09:13:35.242196","Mountain View","California","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36",,"300x250"
539,"121.75.149.224","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 09:45:29.457055","Christchurch","Canterbury","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36","http://kfrog.cbslocal.com/2016/04/25/martina-mcbrides-reckless-musical-insights/","300x250"
544,"81.93.113.153","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 09:57:25.119432","Munich","Bayern","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://kfrog.cbslocal.com/photo-galleries/2011/06/28/this-is-how-rednecks-do-parties-photos/6th-annual-summer-redneck-games-in-georgia/","300x250"
545,"81.93.113.153","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 09:59:25.375978","Munich","Bayern","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://kfrog.cbslocal.com/photo-galleries/2011/06/28/this-is-how-rednecks-do-parties-photos/6th-annual-summer-redneck-games-in-georgia/","300x250"
547,"162.234.102.53","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 10:00:11.086302","Indianapolis","Indiana","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","http://kfrog.cbslocal.com/","300x250"
550,"81.93.113.153","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 10:03:23.9986","Munich","Bayern","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://kfrog.cbslocal.com/photo-galleries/2011/06/28/this-is-how-rednecks-do-parties-photos/6th-annual-summer-redneck-games-in-georgia/","300x250"
552,"96.233.193.21","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 10:06:21.17939","Poughkeepsie","New York","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kfrog.cbslocal.com/","300x250"
